日期及型号,评论
2025年6月12日 · 【DP直连】标准版,这个产品无论从外观还是质量都是很好的，达到了预期值，值得一个好评。货真价实，良心卖家，客服很贴心，物流速度也很满意，整个交易过程很顺利，很开心的一次购物体验。
2024年12月24日 · 【DP直连】标准版,非常满意！目前ar眼镜来看一定是top1级别的，眼镜头戴头显设备里最轻的一款产品，相对于其他眼镜看来优势很大，目前每天都戴着办公看视频，解放双手放眼未来，点赞！
2024年12月17日 · 【DP直连】标准版,"在网上看了XREAL One的评测后下单, 第一次体验AR眼镜产品, 尤其是它的天生 3DoF功能,不错的音质. 可以享受大屏电影. 清晰度也很满意. 值得拥有."
2025年6月1日 · 【边充边玩】标准版+Hub套装,发货很快，物流很给力，配套的镜片也跟我的度数相符，使用体验非常好，第一次佩戴这种AI眼镜还是很震撼的，并且可以直接观看iPhone拍摄的空间，照片和视频真的非常好
2024年12月14日 · 【DP直连】标准版,蛮好用的，试了了看了两集电视剧很轻耳朵和鼻梁基本上不会觉得太重的负担。距离设置模拟9米尺寸200寸效果不错，手机通知提醒文字也看得很清楚，下次出差高铁上再体验一下。
2025年6月20日 · 【DP直连】标准版,以前玩过暴风魔镜 那时候靠手机app 现在用这个自带3dof的xreal one 简直吊打，无论画质还是稳定性，通透性好 平时戴着也不影响做其他事，大屏看视频无敌了！
2025年7月9日 · 【DP直连】标准版,这款XREAL One AR智能眼镜体验很棒，佩戴舒适，画质清晰，空间感强，操作简单。用来看视频、玩游戏都很不错，性价比高，非常满意，值得推荐给喜欢高科技产品的朋友!
2024年12月18日 · 【DP直连】标准版,第一时间收到货，终于等到各方面都进化到完全体的新款Xreal one 。内置了芯片后可以直接在眼镜上控制屏幕大小，视野距离，最主要的是能 3Dof！连接很简单体验很舒服
2025年1月7日 · 【DP直连】标准版,Xreal老用户了，上一代只能说能用，这代Xreal one只能说是太好用了，太爽了这个自研芯片天生3Dof，手机，pc，pad，掌机，随便插上就能用，睡觉都带着哈哈哈
2024年12月16日 · 【DP直连】标准版,搭配win掌机，开启超宽屏效果应该也不错，省去了以前繁琐的设备，眼镜厂家自研芯片自带算力非常nice，音质和防漏音也相当的出色。新款的3Dof功能让我完全沉浸在虚拟世界中
2025年3月26日 · 【DP直连】标准版,刚入手 XREAL One，感觉像随身带了个大屏幕。看电影真的很爽，画质清晰、沉浸感强。外形也挺时尚，不像传统那种“科技眼镜”。就是还得接手机用，不过整体体验很棒，值了！
2025年6月6日 · 【DP直连】标准版,结果到手后发现超出了我的预期。能够直连我的手机、平板、电脑，只有一根线超方便。 很有3D效果  坐飞机高铁那不是爽歪歪！！方便我随时随地畅玩游戏  奈斯!!大赞  太爱了�
2025年1月3日 · 【非DP设备推荐】Beam Pro 128G套装,给老公的圣诞礼物，拿到手以后爱不释手，尤其beam pro方便实用，用beam pro拍的视频自带身临其境效果。用来看电影看视频效果很棒！眼镜悬停功能真的棒，大屏幕体验感好！
2025年7月10日 · 【DP直连】标准版,本来是想等新品xreal one pro的，但实在没抵住618加国补的优惠力度，终于成功拔草。 配合steamdeckoled掌机无敌，可以任意姿势躺在床上游玩，使我快乐旋转。
2025年6月25日 · 【DP直连】标准版,使用了几天下来，对我这种喜欢躺着看视频的人来说真的太舒服了，手可以平放着用鼠标操作，再也不用担心手酸了，后续再买个eye，实现6DF就无敌了（3d打印了个底部遮光罩，效果非常好）
2025年6月3日 · 【DP直连】标准版,xreal one真的是太棒了，自带x1芯片，自带3dof，带着手机电脑随时都可以实现巨幕体验，音效升级了bose调教，也非常棒，比起上一代产品，非常好，希望xreal越来越好！
2024年12月26日 · 【DP直连】标准版,Xreal one 眼镜着实让人惊艳！它的画质极其清晰，细节展现得淋漓尽致。沉浸感更是超强，佩戴起来非常舒适，长时间使用也不会有不适感。而且内容丰富多样，能带来绝佳的体验。真心强烈推荐！
2025年3月28日 · 【DP直连】标准版,眼镜很好，就差2k，4k形成完全体了 单屏模式起飞，宽屏模式，字略花 整体满意，第一梯队。 对配镜用户，折叠会有碰撞，强迫症糟心 很多代产品了，细节解决不好，只靠公关是吃不稳市场的，希望改进吧
2024年12月19日 · 【DP直连】标准版,特意用了几天再来评论，爽是真的爽，超级大屏，看电影玩游戏都嗨皮，尤其是晚上一边赔娃睡觉一边偷偷看视频，就是装上近视镜片后镜腿收不起来，不能装到眼镜盒里，装来装去又嫌麻烦，希望后续产品中有所改善。
2024年12月14日 · 【DP直连】标准版,此前一直在用goovis G3，视野固定，容易眼疲劳，被内置3Dof这个卖点吸引，蛮好的，带了三个钟头都不觉得难受，而且不会挡着主视野，悬停模式一边干活一边追剧两不耽误，光凭这个功能就吊打同类产品了。
2024年12月16日 · 【DP直连】标准版,清晰的非常好，使用起来非常方便。搭配赠送的hub，操作非常简单，易上手。轻便，配镜简单。颜值也杠杠的。期待了很久，果然没有失望。周末待家里，沉浸享受AR的世界，非常完美。希望开发出更多更好的产品。期待
2025年1月10日 · 【DP直连】标准版,第一次使用，包装比较酷炫，看起来不错，眼镜用了，连接我的苹果15，感觉不错，看电影效果很好，就是不知道按键这些用处，得看看说明书，可惜是没有手势触屏，希望后面可以出，还在摸索中，总体感觉不错！目前很好
2025年5月22日 · 【DP直连】标准版,线材链接在这个时代还是要习惯一下，但是综合体验还是不错的。有的app像b站就直接自动投屏，bd网盘就是手机屏幕和眼镜同时播放。总之没法手机息屏略有遗憾。发烫的部分不接触皮肤，因此感觉还行。声音比较优秀。
2025年1月16日 · 【DP直连】标准版,效果挺好的，中午试了下，非常解放双手，虽然目前价格是有点高，但是xreal这一款确实是做到了行业领军的水平，基本上ar眼镜就是xreal和其他了，期待未来的摄像头配件和其他配件，非常看好智能穿戴市场的周边
2025年1月25日 · 【DP直连】标准版,冲着3DoF功能选择了xreal one而不是其他便宜一些的ar眼镜，确实很实用，体验很好，搭配steamdeck和ns游戏体验直接提升几个等级，只是我手机不支持dp输出，无法连接，希望以后有方法可以支持
2025年6月4日 · 【DP直连】标准版,东西不错，悬停和云台都很好用，不过视野还是不够大啊，虽然可以投屏很大，但是受限于fov，投屏大眼睛需要来回看才能看全，另外两个小时以后还是会眼涩。看pad我看一天都不会眼涩。如果能把fov做的更大就好了。
2024年12月20日 · 【DP直连】标准版,XREAL One 云模式跟悬停模式真的非常好用，老用户之前用使用XREAL Air都需要连Beam确实麻烦，电量忧虑一直在，XRAEL One 出来就第一时间入手了，另外画质感觉也有很大的提升，针不戳..
2024年12月20日 · 【DP直连】标准版,两个月前才入手的air2pro，这次直接首发入！收到货之后完全没有失望，优化的带鱼屏显示还有3dof都体验极佳，完全可以用来办公了！缩小的墨镜盒方便了揣口袋携带，真是十分满意！期待之后相机模组和镜框的更新！
2024年12月27日 · 【DP直连】标准版,纠结了很久，做了不少功课最后还是选择了xreal one 不用外接设备能实现各种参数调节好用才是目前ar眼镜的完全体，真正从能用变成了好用，现在已经爱不释手了 每晚睡前戴眼镜连个手机躺着刷剧已经变为日常了。
2025年5月25日 · 【DP直连】标准版,XREAL One使用感受良好。佩戴上它像厚一点的墨镜，无压迫感，长时间戴也舒适。其运算延迟仅3毫秒，画面稳定清晰。显示色彩丰富，对比度高，搭配BOSE音效，观影游戏有沉浸感，还能连接多设备，方便移动办公。
2025年6月5日 · 【边充边玩】标准版+Hub套装,家人们，我入手Xreal One有段时间了，必须来给大伙唠唠!它原生3DoF功能真牛，画面能稳稳悬停使用后躺着看电影超爽。50°大视场角搭配高刷新率，视觉体验超棒，Bose调校的音响也很加分，非常值得购买！
2024年12月14日 · 【非DP设备推荐】Beam Pro 128G套装,只能说值了，上班戴着看番神不知鬼不觉的，在监控下“顶风作案。”这就是xreal one给我的自信。出门携带方便，随身巨屏竟然可以装在一个眼镜盒里？科技感满满，体验空间悬停操作系统。离科幻片里的效果又近就一步。
2024年12月15日 · 【DP直连】标准版,"一體化的設計，音效播放效果更清晰，比air2 pro 使用上更方便，值得注意的是beam 暫不支援one ,要配答beam pro。這次廠方沒有附送遮光蓋，令我有點不滿，整體上是值得升級的，是一個很好的產品。"
2025年6月4日 · 【边充边玩】标准版+Hub套装,最不开心的是明明都在618促销期间，买了不到十天，降价了200多，商家甩锅给国补，说和他们无关。说到底消费者都是看最终价格的，商家促销也不过是个数字游戏，如果真的是有责任心的商家，多的是办法可以让消费者舒心。
2025年6月7日 · 【非DP推荐】Beam Pro 128G套装,很好用连接rog ally和折腾版switch都可以用。之前还不会用switch要连电源。客服很耐心。纠结了很久是买one还是viture pro。最后还是买的这个因为可以用手机版app方便很多，不用在冲会员了
2024年12月20日 · 【DP直连】标准版,XREAL One 买之前也没想到效果这么好呀，画面清晰度很高，亮度也够，特地买了bilibili的大会员，挑着杜比视频一顿看，很满意，这是最近买到最好玩的电子设备了，还在慢慢熟悉，希望后续摸索出更多有用的功能.
